FILM,IMDB,IMDB_user_vote_count
Avengers: Age of Ultron (2015),7.8,271107
Cinderella (2015),7.1,65709
Ant-Man (2015),7.8,103660
The Water Diviner (2015),7.2,39373
Shaun the Sheep Movie (2015),7.4,12227
Love & Mercy (2015),7.8,5367
Far From The Madding Crowd (2015),7.2,12129
Leviathan (2014),7.7,22521
Unbroken (2014),7.2,77518
The Imitation Game (2014),8.1,334164
Southpaw (2015),7.8,23561
"McFarland, USA (2015)",7.5,13769
The Man From U.N.C.L.E. (2015),7.6,22104
Selma (2014),7.5,45344
Ex Machina (2015),7.7,154499
Still Alice (2015),7.5,57123
Wild Tales (2014),8.2,50285
The End of the Tour (2015),7.9,1320
Red Army (2015),7.7,2275
When Marnie Was There (2015),7.8,4160
The Hunting Ground (2015),7.5,1196
Timbuktu (2015),7.2,6246
About Elly (2015),8.2,20659
Kingsman: The Secret Service (2015),7.8,272204
Entourage (2015),7.1,21914
The Age of Adaline (2015),7.3,45510
Birdman (2014),7.9,303505
The Gift (2015),7.6,10891
Monkey Kingdom (2015),7.3,883
Seymour: An Introduction (2015),7.7,243
The Wrecking Crew (2015),7.8,732
American Sniper (2015),7.4,251856
Furious 7 (2015),7.4,207211
The Hobbit: The Battle of the Five Armies (2014),7.5,289464
Straight Outta Compton (2015),8.4,15982
Little Boy (2015),7.4,5927
Me and Earl and The Dying Girl (2015),8.2,5269
Mad Max: Fury Road (2015),8.3,292023
Spy (2015),7.3,66636
Paddington (2015),7.2,38593
Dope (2015),7.5,4911
What We Do in the Shadows (2015),7.6,39561
The Salt of the Earth (2015),8.4,6605
Song of the Sea (2014),8.2,14067
The 100-Year-Old Man Who Climbed Out the Window and Disappeared (2015),7.1,17237
A Most Violent Year (2014),7.1,32166
Testament of Youth (2015),7.3,5495
Infinitely Polar Bear (2015),7.2,1062
Phoenix (2015),7.2,3687
The Wolfpack (2015),7.1,1488
The Stanford Prison Experiment (2015),7.1,950
Tangerine (2015),7.4,696
Woman in Gold (2015),7.4,17957
Mission: Impossible â€“ Rogue Nation (2015),7.8,82579
Amy (2015),8.0,5630
Jurassic World (2015),7.3,241807
The Longest Ride (2015),7.2,25214
Danny Collins (2015),7.1,11206
Spare Parts (2015),7.2,47377
Inside Out (2015),8.6,96252
Mr. Holmes (2015),7.4,7367
'71 (2015),7.2,24116
"Two Days, One Night (2014)",7.4,24345
Gett: The Trial of Viviane Amsalem (2015),7.8,1955
